doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-article-188931,data/chinh-sach-doi-tra/shopee-article-188931.md,Shopee article 188931,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
shopee-article-189473,data/chinh-sach-doi-tra/shopee-article-189473.md,Shopee article 189473,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
shopee-article-189477,data/chinh-sach-doi-tra/shopee-article-189477.md,Shopee article 189477,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source
shopee-article-190242,data/chinh-sach-doi-tra/shopee-article-190242.md,Shopee article 190242,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
shopee-article-195504,data/chinh-sach-doi-tra/shopee-article-195504.md,Shopee article 195504,https://help.shopee.vn/portal/4/article/195504,2026-09-20,not-stated,public-source
shopee-article-77243,data/chinh-sach-doi-tra/shopee-article-77243.md,Shopee article 77243,https://help.shopee.vn/portal/4/article/77243,2026-09-20,not-stated,public-source
shopee-article-77245,data/chinh-sach-doi-tra/shopee-article-77245.md,Shopee article 77245,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-article-77251,data/chinh-sach-doi-tra/shopee-article-77251.md,Shopee article 77251,https://help.shopee.vn/portal/4/article/77251,2026-09-20,not-stated,public-source
shopee-article-77262,data/chinh-sach-doi-tra/shopee-article-77262.md,Shopee article 77262,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-article-77265,data/chinh-sach-doi-tra/shopee-article-77265.md,Shopee article 77265,https://help.shopee.vn/portal/4/article/77265,2026-09-20,not-stated,public-source
shopee-article-77484,data/chinh-sach-doi-tra/shopee-article-77484.md,Shopee article 77484,https://help.shopee.vn/portal/4/article/77484,2026-09-20,not-stated,public-source
shopee-article-79233,data/chinh-sach-doi-tra/shopee-article-79233.md,Shopee article 79233,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
shopee-article-79467,data/chinh-sach-doi-tra/shopee-article-79467.md,Shopee article 79467,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
shopee-article-79508,data/chinh-sach-doi-tra/shopee-article-79508.md,Shopee article 79508,https://help.shopee.vn/portal/4/article/79508,2026-09-20,not-stated,public-source
